id,listing_url,name,bedrooms,beds,bathrooms,accommodates,price,room_type,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_id,host_name,host_since,current_host_listings,total_host_listings_count,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
46943928,https://www.airbnb.com/rooms/46943928,Condo in Asheville , 1 bedroom , 1 beds , 1 bath,4,300,Entire home/apt,4.95,4.98,5,5,5,4.98,4.95,167186184,Towns,1/11/2018,120,120,1,42,9/10/2023,6.06,1,62,42
48355314,https://www.airbnb.com/rooms/48355314,Condo in Asheville , 1 bedroom , 1 beds , 1 bath,2,173,Entire home/apt,4.96,4.99,4.99,4.93,4.97,4.95,4.96,167186184,Towns,1/11/2018,120,120,1,271,9/9/2023,6.85,2,317,81
48547584,https://www.airbnb.com/rooms/48547584,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,169,Entire home/apt,4.96,4.99,4.99,4.99,5,5,4.96,167186184,Towns,1/11/2018,120,120,2,116,8/28/2023,3.72,2,66,37
50378909,https://www.airbnb.com/rooms/50378909,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,2,110,Entire home/apt,4.97,4.98,5,4.99,5,4.95,4.97,167186184,Towns,1/11/2018,120,120,1,86,9/3/2023,4.8,1,169,57
51125182,https://www.airbnb.com/rooms/51125182,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,2,146,Entire home/apt,4.98,4.99,4.99,5,5,4.95,4.98,167186184,Towns,1/11/2018,120,120,2,131,9/4/2023,3.54,1,33,39
5.50E+17,https://www.airbnb.com/rooms/549978484678641211,Home in Asheville , 1 bedroom , 1 beds , 1 bath,2,102,Entire home/apt,5,5,5,5,5,5,5,167186184,Towns,1/11/2018,120,120,2,1,10/22/2021,0.04,3,10,0
5.54E+17,https://www.airbnb.com/rooms/554287217436240399,Condo in Asheville , 1 bedroom , 1 beds , 1 bath,2,124,Entire home/apt,5,5,5,5,5,5,5,443127396,Vacasa North Carolina,2/1/2022,35,66,1,8,11/6/2022,0.31,2,89,3
5.54E+17,https://www.airbnb.com/rooms/554287144939507336,Rental unit in Asheville , 1 bedroom , 2 beds , 1.5 baths,4,185,Entire home/apt,4.84,4.91,4.76,4.97,4.97,4.94,4.84,443127396,Vacasa North Carolina,2/1/2022,35,66,1,271,9/9/2023,5,2,339,68
5.54E+17,https://www.airbnb.com/rooms/554287166311175790,Condo in Asheville , 1 bedroom , 2 beds , 1 bath,4,83,Entire home/apt,5,4.92,5,5,5,5,5,443127396,Vacasa North Carolina,2/1/2022,35,66,30,12,7/22/2023,0.45,1,206,4
5.54E+17,https://www.airbnb.com/rooms/554287234247934283,Condo in Asheville , 1 bedroom , 2 beds , 0 baths,4,201,Entire home/apt,,,,,,,,443127396,Vacasa North Carolina,2/1/2022,35,66,30,0,,,43,187,0
9.34E+17,https://www.airbnb.com/rooms/934236001272003289,Home in Asheville , 1 bedroom , 1 beds , 0 baths,2,134,Entire home/apt,,,,,,,,480217041,AvantStay,9/19/2022,48,56,30,0,,,2,204,0
42540321,https://www.airbnb.com/rooms/42540321,Rental unit in Arden , 1 bedroom , 1 beds , 1 bath,4,94,Entire home/apt,4.94,4.97,4.94,5,4.93,4.92,4.94,338836359,Hidden Acres,2/25/2020,42,45,2,118,9/10/2023,4.49,2,135,44
47405082,https://www.airbnb.com/rooms/47405082,Tiny home in Arden , 1 bedroom , 2 beds , 1 bath,4,84,Entire home/apt,4.96,4.98,4.99,5,5,4.94,4.96,338836359,Hidden Acres,2/25/2020,42,45,2,530,9/7/2023,6.41,1,190,86
8.15E+17,https://www.airbnb.com/rooms/814506199227674948,Home in Arden , 1 bedroom , 1 beds , 1 bath,2,42,Entire home/apt,5,5,5,5,5,4.6,5,478848912,Pete,9/9/2022,27,43,1,5,9/4/2023,2.83,3,76,5
8.97E+17,https://www.airbnb.com/rooms/897012842531200206,Rental unit in Asheville , 1 bedroom , 2 beds , 1 bath,4,128,Entire home/apt,,,,,,,,232831690,Jon,12/27/2018,26,34,2,0,,,1,0,0
51562902,https://www.airbnb.com/rooms/51562902,Home in Asheville , 1 bedroom , 2 beds , 1 bath,4,124,Entire home/apt,4.98,4.98,4.98,5,5,4.68,4.98,242314108,Vessela Harper,2/10/2019,32,34,1,40,9/4/2023,4.44,1,33,40
6.98E+17,https://www.airbnb.com/rooms/698312324969137172,Rental unit in Arden , 1 bedroom , 2 beds , 1 bath,4,76,Entire home/apt,5,5,5,5,5,5,5,164488739,Trifecta,12/27/2017,21,31,1,4,9/4/2023,0.58,1,175,4
6.98E+17,https://www.airbnb.com/rooms/698312346476999849,Rental unit in Arden , 1 bedroom , 2 beds , 1 bath,4,76,Entire home/apt,5,5,5,5,5,5,5,164488739,Trifecta,12/27/2017,21,31,30,1,7/29/2023,0.64,5,153,1
